image_id,method,min_pairwise_de2000,wcag_aa_coverage,wcag_aaa_coverage,reconstruction_error_de2000,harmony_alignment,runtime_seconds
coco_000000275791,kmeans_rgb,15.335924810068553,0.2,0.1,9.210718978930512,0.36593877979887063,0.0643348329977016
coco_000000275791,kmeans_lab,19.02513710456041,0.2,0.1,8.897514326366316,0.25107988050480295,0.3612141249977867
coco_000000281693,dsp,28.080438908134067,0.4,0.2,9.061507071331,0.40739375791460486,0.36682275000202935
coco_000000281693,median_cut,6.330098325693851,0.3,0.2,7.665045086826031,0.42316761852907847,0.199636332996306
coco_000000281693,kmeans_rgb,19.235989547813503,0.3,0.2,7.044562376236215,0.5936854817958216,0.06657675000315066
coco_000000281693,kmeans_lab,15.478348719784664,0.2,0.1,7.416751879699302,0.555533229458052,0.41403291699680267
coco_000000283520,dsp,30.374246990831004,0.4,0.2,12.74126130632014,0.5269265929535644,0.4158817089992226
coco_000000283520,median_cut,5.57913158972728,0.1,0.0,9.724947290351393,0.4739773734086561,0.22236908299964853
coco_000000283520,kmeans_rgb,10.272102121867213,0.1,0.1,9.499875562660588,0.5166223360396099,0.13630312500026776
coco_000000283520,kmeans_lab,16.161836752509313,0.1,0.0,7.759837516144342,0.6576867086424211,0.2045827499969164
coco_000000284106,dsp,23.826749323847725,0.3,0.2,8.745246377301243,0.7346730974418877,0.36341800000082003
coco_000000284106,median_cut,8.936674734412668,0.3,0.1,8.10109978264965,0.5419056325270453,0.19697900000028312
coco_000000284106,kmeans_rgb,17.84412472307252,0.3,0.1,7.380017566171035,0.5741179850846219,0.07888891699985834
coco_000000284106,kmeans_lab,14.34679043528516,0.2,0.1,7.336675909819716,0.5292825154275581,0.3660445829955279
coco_000000288762,dsp,37.770942553480914,0.4,0.1,13.01745163997704,0.5890314948988642,0.34582587499608053
coco_000000288762,median_cut,6.789895346589104,0.2,0.0,11.245221265416975,0.48531686047743394,0.18598004200612195
coco_000000288762,kmeans_rgb,12.95772132586372,0.2,0.1,8.518589667283184,0.5339673834395638,0.06277433299692348
coco_000000288762,kmeans_lab,14.393608732326578,0.2,0.1,8.542777394742393,0.4870696184763167,0.3778119999988121
coco_000000294163,dsp,28.772935008487345,0.3,0.2,14.734233238264798,0.5546994094734378,0.3654959589985083
coco_000000294163,median_cut,1.821916963765985,0.0,0.0,6.405522118874677,0.2970834942046384,0.23729191700113006
coco_000000294163,kmeans_rgb,8.829844953557474,0.4,0.1,5.710221890866248,0.3935652402758174,0.1770107500051381
coco_000000294163,kmeans_lab,8.80058496278556,0.3,0.1,5.756620471815274,0.4165915064480391,0.18723887499800185
coco_000000300233,dsp,23.61602381430085,0.2,0.1,10.54054822694581,0.8062877175467786,0.3706221250031376
coco_000000300233,median_cut,11.288603036929038,0.2,0.1,7.503990332385995,0.4699586929401365,0.20860216700384626
coco_000000300233,kmeans_rgb,13.222706609261804,0.3,0.1,7.455838536152248,0.5531499596365711,0.09021483299875399
coco_000000300233,kmeans_lab,17.84716754535718,0.3,0.1,6.569765063236935,0.3074316549815073,0.3771850409975741
coco_000000307145,dsp,17.301122076234996,0.3,0.2,8.39721787676507,0.5774085780398029,0.24508324999624165
coco_000000307145,median_cut,10.277888680359665,0.2,0.0,6.0512532540837665,0.5555994071564098,0.08535404199938057
coco_000000307145,kmeans_rgb,10.349807274836266,0.2,0.0,6.0855705776680304,0.5441795767998906,0.03413366599852452
coco_000000307145,kmeans_lab,11.191247782655921,0.1,0.0,5.753207846943141,0.42788991468498516,0.14862108300440013
coco_000000315187,dsp,26.982046735472046,0.3,0.1,8.201397496231348,0.4660692101273728,0.36894912499701604
coco_000000315187,median_cut,3.8067544120211396,0.3,0.3,7.3307245291996885,0.2321237071357789,0.19661537500360282
coco_000000315187,kmeans_rgb,15.892667852135528,0.3,0.3,6.667258320692886,0.4330209640768204,0.12033299999893643
coco_000000315187,kmeans_lab,21.183386470453385,0.2,0.1,6.678964675277229,0.3210910251549123,0.40422837500227615
coco_000000334977,dsp,30.195582020294925,0.3,0.1,4.5598864659428955,0.4066360915967249,0.2760764580016257
coco_000000334977,median_cut,2.0123369530841084,0.4,0.0,8.5665258667236,0.6703423882789565,0.11590033300308278
coco_000000334977,kmeans_rgb,12.678067399768043,0.2,0.1,4.533590482495491,0.48031628974581436,0.10566833399934694
coco_000000334977,kmeans_lab,20.168916568316668,0.1,0.1,3.786621909423038,0.5451690472389026,0.352216708000924
coco_000000335427,dsp,27.050405869480006,0.4,0.2,10.92870055029009,0.6430890698657318,0.3500133330016979
coco_000000335427,median_cut,6.960227538895359,0.3,0.1,9.44101252503257,0.47119337004153233,0.2389036250024219
coco_000000335427,kmeans_rgb,10.60930702235305,0.3,0.2,7.780236667919205,0.5179608642546418,0.09327045799727784
coco_000000335427,kmeans_lab,11.150470251729438,0.3,0.2,7.8310396576295,0.412889669542845,0.2812300840014359
coco_000000346232,dsp,22.499763702643374,0.3,0.2,7.689759804392307,0.5028689626942231,0.34095083300053375
